name,winning_perc_before_ko,winning_perc_after_ko
Drako Rodriguez,0.0,0.0
Drew Dober,0.5714285714285714,0.0
Duane Ludwig,0.0,0.0
Dusko Todorovic,0.5,0.4
Dustin Pague,0.2,0.0
Dustin Poirier,0.625,0.7222222222222222
Dustin Stoltzfus,0.2,0.0
Dwight Grant,0.5,0.25
Dylan Andrews,0.6666666666666666,0.0
Ed Herman,0.5,0.4444444444444444
Eddie Alvarez,0.6,0.3333333333333333
Eddie Gordon,0.5,0.0
Eddie Wineland,0.6666666666666666,0.36363636363636365
Edgar Garcia,0.0,0.0
Edmen Shahbazyan,0.8,0.25
Edson Barboza,0.5,0.5652173913043478
Edwin Figueroa,0.5,0.0
Eiji Mitsuoka,0.0,0.0
Elias Silverio,0.75,0.0
Elise Reed,0.0,0.6
Elizeu Zaleski dos Santos,0.7777777777777778,0.75
Elvis Mutapcic,0.0,0.0
Eric Schafer,0.0,0.0
Eric Spicely,0.4,0.0
Erick Gonzalez,0.0,0.0
Erick Montano,0.3333333333333333,0.0
Erick Silva,0.4,0.4444444444444444
Erik Koch,0.0,0.42857142857142855
Ernest Chavez,0.3333333333333333,0.0
Eryk Anders,0.6,0.36363636363636365
Estevan Payan,0.0,0.0
Evan Dunham,0.3333333333333333,0.5
Evan Elder,0.0,1.0
Fabio Cherant,0.0,0.0
Fabio Maldonado,0.0,0.5714285714285714
Fabricio Werdum,0.8571428571428571,0.5714285714285714
Felipe Arantes,0.45454545454545453,0.0
Felipe Colares,0.3333333333333333,0.0
Felipe Silva,0.5,0.0
Francis Carmont,0.625,0.0
Francis Marshall,0.3333333333333333,0.0
Francisco Trevino,0.3333333333333333,0.0
Frank Camacho,0.25,0.25
Frank Mir,0.0,0.2857142857142857
Frankie Edgar,0.5833333333333334,0.2857142857142857
Frankie Perez,0.0,0.3333333333333333
Frankie Saenz,0.6,0.4
Gabe Green,0.4,0.0
Gabriel Benitez,0.6666666666666666,0.5
Gabriel Gonzaga,0.6666666666666666,0.42857142857142855
Gabriel Miranda,0.0,0.0
Gabriel Santos,0.0,0.0
Gadzhimurad Antigulov,0.6666666666666666,0.0
Gaetano Pirrello,0.0,0.0
Galore Bofando,0.5,0.0
Garett Whiteley,0.0,0.0
Garreth McLellan,0.3333333333333333,0.0
Gavin Tucker,0.6666666666666666,0.0
Gegard Mousasi,0.5714285714285714,1.0
Genaro Valdez,0.0,0.0
George Roop,0.0,0.5
George Sotiropoulos,0.0,0.0
George Sullivan,0.6,0.0
Gerald Meerschaert,0.6666666666666666,0.5
Germaine de Randamie,0.5,0.8571428571428571
